date,tenor,detachment,rho,status,residual
2024-11-19,1.0,0.03,0.2683082807028014,BRENT,-0.0013667766000000018
2024-11-19,1.0,0.07,0.02783094170886707,NO_BRACKET_MINABS,3.807613835906835e-05
2024-11-19,1.0,0.1,0.03893220590496649,NO_BRACKET_MINABS,-6.598900300446044e-05
2024-11-19,1.0,0.15,0.04930237940419682,NO_BRACKET_MINABS,-2.8133704405919058e-05
2024-11-19,2.0,0.03,0.4340502227823656,BRENT,-0.0030565359
2024-11-19,2.0,0.07,0.4435152921424257,BRENT,2.7683599972623252e-05
2024-11-19,2.0,0.1,0.44483841040787897,BRENT,-2.656295322589486e-18
2024-11-19,2.0,0.15,0.454583951120908,BRENT,-5.963111948670274e-19
2024-11-19,3.0,0.03,0.47370039072176556,BRENT,-0.005014739399999997
2024-11-19,3.0,0.07,0.5345153635266292,BRENT,-0.0004833084000012947
2024-11-19,3.0,0.1,0.5478772996986464,BRENT,2.168404344971009e-18
2024-11-19,3.0,0.15,0.6313718657287523,BRENT,-2.168404344971009e-18
2024-11-19,5.0,0.03,0.5051909215525453,BRENT,-0.009026029499543543
2024-11-19,5.0,0.07,0.5851852588283113,BRENT,-0.002381850799573788
2024-11-19,5.0,0.1,0.650380619111351,BRENT,1.951563910473908e-18
2024-11-19,5.0,0.15,0.7058248559793082,BRENT,-6.288372600415926e-18
2024-11-19,7.0,0.03,0.5082039559597082,BRENT,-0.012859029600000009
2024-11-19,7.0,0.07,0.5866081531402344,BRENT,-0.005386239999992181
2024-11-19,7.0,0.1,0.6531326827620932,BRENT,-2.4129309661446996e-13
2024-11-19,7.0,0.15,0.7080610486606508,BRENT,9.463350242322477e-15
2024-11-20,1.0,0.03,0.2272573459239461,BRENT,-0.0013797743999938799
2024-11-20,1.0,0.07,0.010641955827656617,NO_BRACKET_MINABS,6.510543739562236e-06
2024-11-20,1.0,0.1,0.041863390447254956,NO_BRACKET_MINABS,-6.591081744738173e-05
2024-11-20,1.0,0.15,0.03423203644955456,NO_BRACKET_MINABS,-3.280317840474709e-05
2024-11-20,2.0,0.03,0.4226492797229795,BRENT,-0.003090732900002969
2024-11-20,2.0,0.07,0.41799386641068087,BRENT,1.7921999981141173e-05
2024-11-20,2.0,0.1,0.4129478239805572,BRENT,-1.5826532792639902e-14
2024-11-20,2.0,0.15,0.3711928112460536,BRENT,-1.734723475976807e-18
2024-11-20,3.0,0.03,0.46383806799608696,BRENT,-0.005087185800000002
2024-11-20,3.0,0.07,0.5178718318210777,BRENT,-0.0005146500000001519
2024-11-20,3.0,0.1,0.5306694605613115,BRENT,8.033938098117588e-17
2024-11-20,3.0,0.15,0.6071258781673519,BRENT,5.421010862427522e-20
2024-11-20,5.0,0.03,0.496679892473338,BRENT,-0.009187177199999999
2024-11-20,5.0,0.07,0.5731009087297273,BRENT,-0.0024956843999995103
2024-11-20,5.0,0.1,0.6369210238185663,BRENT,-6.938893903907228e-18
2024-11-20,5.0,0.15,0.6903419932521406,BRENT,-3.0357660829594124e-18
2024-11-20,7.0,0.03,0.46669204973493084,BRENT,-0.013821196199961031
2024-11-20,7.0,0.07,0.5032204041450925,BRENT,-0.007060646799999992
2024-11-20,7.0,0.1,0.5484093024931253,BRENT,6.730961274459268e-13
2024-11-20,7.0,0.15,0.5836563852898481,BRENT,6.882732231372479e-13
2024-11-21,1.0,0.03,0.2588026407933279,BRENT,-0.0013887920999999996
2024-11-21,1.0,0.07,0.030030953192772852,NO_BRACKET_MINABS,1.617459844589303e-05
2024-11-21,1.0,0.1,0.04015305236982086,NO_BRACKET_MINABS,-6.816328734072571e-05
2024-11-21,1.0,0.15,0.05576678910184029,NO_BRACKET_MINABS,-2.6227983455791838e-05
2024-11-21,2.0,0.03,0.43578186259001683,BRENT,-0.003075371699997288
2024-11-21,2.0,0.07,0.45152124439180813,BRENT,1.8989600000007595e-05
2024-11-21,2.0,0.1,0.45153394154518545,BRENT,-1.0842021724855044e-18
2024-11-21,2.0,0.15,0.47386073005088675,BRENT,-2.413209064001942e-14
2024-11-21,3.0,0.03,0.47367014162584525,BRENT,-0.005026026300000001
2024-11-21,3.0,0.07,0.5355128435424956,BRENT,-0.0004906872000000009
2024-11-21,3.0,0.1,0.5481077496422245,BRENT,-5.210675640965334e-16
2024-11-21,3.0,0.15,0.6320472864797062,BRENT,3.7947076036992655e-19
2024-11-21,5.0,0.03,0.5034175186372576,BRENT,-0.009046956899999998
2024-11-21,5.0,0.07,0.5827857294348613,BRENT,-0.0023979099999999393
2024-11-21,5.0,0.1,0.6471004703603469,BRENT,6.5052130349130266e-18
2024-11-21,5.0,0.15,0.7027915504635861,BRENT,1.6061262562983014e-13
2024-11-21,7.0,0.03,0.5104338909480001,BRENT,-0.012788205001028626
2024-11-21,7.0,0.07,0.5903602484385715,BRENT,-0.005308765999968301
2024-11-21,7.0,0.1,0.6569302057949273,BRENT,6.071532165918825e-18
2024-11-21,7.0,0.15,0.7129565892646638,BRENT,1.414233313790092e-15
2024-11-26,1.0,0.03,0.16658358175258037,BRENT,-0.0012975635999999987
2024-11-26,1.0,0.07,0.030912727221346324,NO_BRACKET_MINABS,-1.1408637101425405e-05
2024-11-26,1.0,0.1,0.03840475740534326,NO_BRACKET_MINABS,-6.410775607849087e-05
2024-11-26,1.0,0.15,0.04875966426009184,NO_BRACKET_MINABS,-2.8246712448377393e-05
2024-11-26,2.0,0.03,0.4183035269996042,BRENT,-0.002918390400006498
2024-11-26,2.0,0.07,0.4087353887158881,BRENT,4.882519996899086e-05
2024-11-26,2.0,0.1,0.38603740812706516,BRENT,5.421010862427522e-20
2024-11-26,2.0,0.15,0.3009273284810525,BRENT,-2.4123498337802474e-18
2024-11-26,3.0,0.03,0.4571988576439237,BRENT,-0.004835067299999965
2024-11-26,3.0,0.07,0.4899550277076135,BRENT,-0.0004413715999999975
2024-11-26,3.0,0.1,0.5065139169611775,BRENT,-1.0842021724855044e-19
2024-11-26,3.0,0.15,0.5564152687780646,BRENT,-4.391018798566293e-18
2024-11-26,5.0,0.03,0.49327160415185306,BRENT,-0.0087541992
2024-11-26,5.0,0.07,0.5704567475815293,BRENT,-0.002239751999978412
2024-11-26,5.0,0.1,0.6247591043450748,BRENT,1.120210695038093e-13
2024-11-26,5.0,0.15,0.6844855547163855,BRENT,1.269344872267819e-13
2024-11-26,7.0,0.03,0.5011396061057334,BRENT,-0.012602353199415939
2024-11-26,7.0,0.07,0.5766673378177118,BRENT,-0.0052292043997265066
2024-11-26,7.0,0.1,0.6351560647148397,BRENT,-2.6020852139652106e-18
2024-11-26,7.0,0.15,0.6940153368376644,BRENT,1.766364832178624e-13
2024-12-03,1.0,0.03,0.22796920959142214,BRENT,-0.0012275759999999989
2024-12-03,1.0,0.07,0.035426231289423064,NO_BRACKET_MINABS,3.090159751047641e-05
2024-12-03,1.0,0.1,0.032413820406194595,NO_BRACKET_MINABS,-6.016354681599351e-05
2024-12-03,1.0,0.15,0.05801228323778088,NO_BRACKET_MINABS,-2.5203249646091525e-05
2024-12-03,2.0,0.03,0.4363870809555568,BRENT,-0.0027683787
2024-12-03,2.0,0.07,0.4451093397928728,BRENT,8.61163999999998e-05
2024-12-03,2.0,0.1,0.45428018737229003,BRENT,-3.4978042597749726e-14
2024-12-03,2.0,0.15,0.46457950336665355,BRENT,-2.710505431213761e-19
2024-12-03,3.0,0.03,0.4688881404366219,BRENT,-0.004600203000000285
2024-12-03,3.0,0.07,0.5112568518800533,BRENT,-0.0003501267999999983
2024-12-03,3.0,0.1,0.532323368401855,BRENT,-4.868067754459915e-17
2024-12-03,3.0,0.15,0.5980212016481465,BRENT,-9.215718466126788e-19
2024-12-03,5.0,0.03,0.5117703247037458,BRENT,-0.008408491799963148
2024-12-03,5.0,0.07,0.5945093540736741,BRENT,-0.0020326963995710157
2024-12-03,5.0,0.1,0.6512546490177256,BRENT,-2.168404344971009e-19
2024-12-03,5.0,0.15,0.714871884272229,BRENT,1.678342794603216e-13
2024-12-03,7.0,0.03,0.5160620777107645,BRENT,-0.012148386599212658
2024-12-03,7.0,0.07,0.5983195243139909,BRENT,-0.004830377200000005
2024-12-03,7.0,0.1,0.6580666576728734,BRENT,2.1509270059505425e-14
2024-12-03,7.0,0.15,0.7218372738350408,BRENT,-1.214306433183765e-17
