tranche_tenor,tranche_name,pc1_exposure,pc2_exposure,pc3_exposure,pc1_normalized,pc2_normalized,pc3_normalized,total_abs_factor_exposure,dominant_factor
1.0,0-3,-0.00019175309555750404,-0.000157609073750885,-7.354029065007167e-05,0.4534215657585412,0.3726842207689358,0.17389421347252298,0.0004229024599584607,PC1
1.0,10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PC1
1.0,3-7,0.00019175309555743183,0.00015760907375087036,7.354029065006667e-05,0.453421565758469,0.37268422076898217,0.17389421347254894,0.0004229024599583688,PC1
1.0,7-10,1.7080625326121314e-17,-3.069388066455257e-17,-1.6147293238751094e-17,0.2672112727117767,0.48017860940346196,0.2526101178847614,6.392179922942497e-17,PC2
2.0,0-3,-0.0005502735861473582,-0.0002332601866450312,0.000365508120513584,0.47889775764757797,0.2030040749636248,0.3180981673887972,0.0011490418933059734,PC1
2.0,10-15,-0.0003860807832886644,-0.00021030909166930701,-0.0005869425890620517,0.3262656903513564,0.17772612352309167,0.49600818612555203,0.001183332464020023,PC3
2.0,3-7,-0.00028266987478273945,-6.157564681415746e-05,-0.0010708615697668606,0.19975157817231112,0.043513064975751185,0.7567353568519377,0.0014151070913637576,PC3
2.0,7-10,-0.00021153245166313057,-0.00044019001316468974,0.0015724806643761654,0.09510482603215982,0.1979090881515971,0.7069860858162431,0.0022242031292039857,PC3
3.0,0-3,-0.001075007893543345,-0.0004540370108603579,-0.000772234487796612,0.4671348890477402,0.19729764773422012,0.33556746321803976,0.0023012793922003146,PC1
3.0,10-15,-0.0003563099134624107,-0.0006878744258045774,-0.002106340296807063,0.11309542207116893,0.218336469402047,0.6685681085267839,0.003150524636074051,PC3
3.0,3-7,-0.0007879609865746842,-0.0009712652040340575,-0.004934081171882099,0.1177237117468117,0.14510990627399067,0.7371663819791977,0.00669330736249084,PC3
3.0,7-10,0.00013197081535166067,0.00012868968750455543,0.0031115126839689777,0.039135242480208283,0.03816224149083907,0.9227025160289526,0.0033721731868251938,PC3
5.0,0-3,-0.00259659203989391,-0.0017017941881208429,0.013383254457327916,0.1468524378535966,0.09624639581843544,0.7569011663279679,0.01768164068534267,PC3
5.0,10-15,-0.00039920445135593896,0.0006758884523450654,0.00931189273963526,0.038433137876920744,0.06507070246878403,0.8964961596542952,0.010386985643336264,PC3
5.0,3-7,-0.001270280662561108,-0.0003581011763943043,0.007067210612822941,0.14608327950113625,0.04118191812463202,0.8127348023742318,0.008695592451778353,PC3
5.0,7-10,-0.001022858875698314,-0.0017041393623132106,-0.0058576185857476,0.11915020748129483,0.19851082433834055,0.6823389681803645,0.008584616823759125,PC3
7.0,0-3,-0.011881017868915385,0.014431666030600056,0.0057556133718054,0.37049107311166024,0.4500290710322968,0.17947985585604295,0.03206829727132084,PC2
7.0,10-15,-0.007503155602062626,0.01432393164322563,0.013224127014791238,0.21406264406103942,0.4086572161792247,0.37728013975973584,0.0350512142600795,PC2
7.0,3-7,-0.015886891490448727,0.02522737826223301,-0.001106381470240253,0.37628248334131764,0.5975127699720754,0.026204746686606956,0.04222065122292199,PC2
7.0,7-10,-0.009870888979713364,0.013567198248464384,-0.017802171637804044,0.23935080067733644,0.3289794637941925,0.4316697355284711,0.04124025886598179,PC3
10.0,0-3,-0.019420678684562123,0.023589961058511546,0.009408109571053615,0.3704910731116603,0.45002907103229683,0.17947985585604298,0.05241874931412728,PC2
10.0,10-15,-0.020698082538482293,0.037373084711753254,0.027345171705147615,0.24231994477419408,0.43754023139852566,0.3201398238272802,0.08541633895538317,PC2
10.0,3-7,-0.032764351031498246,0.05094242012106455,-0.0006706745052689582,0.38830697914659046,0.6037445163681151,0.007948504485294376,0.08437744565783176,PC2
10.0,7-10,-0.025622109979453855,0.035497212527680205,-0.0359272674893584,0.2640186531065122,0.3657749595216398,0.370206387371848,0.09704658999649246,PC3
