target_tranche,shocked_node_tenor,shocked_node_detachment,total_abs_corr_sensitivity,rank
0-3,10.0,0.03,0.1449933922734667,1.0
0-3,7.0,0.03,0.08870282611931068,2.0
0-3,5.0,0.03,0.049195594164052475,3.0
10-15,10.0,0.15,0.26738326738195706,1.0
10-15,10.0,0.1,0.2458801877223138,2.0
10-15,7.0,0.15,0.12253363696916875,3.0
3-7,10.0,0.07,0.20686806678703318,1.0
3-7,10.0,0.03,0.14499339227346253,2.0
3-7,7.0,0.07,0.1100755093777675,3.0
7-10,10.0,0.1,0.2458801877223138,1.0
7-10,10.0,0.07,0.20686806678703318,2.0
7-10,7.0,0.1,0.11894325941644024,3.0
