tranche,hedge_method,scenario_vol_reduction,residual_rmse,residual_mean_abs_pnl,worst_case_abs_residual,worst_case_scenario
10Y|0-3,factor_match,0.7917991809969589,0.008894809653648823,0.007438479904341927,0.012383523487643357,PC1_up_1sigma
10Y|10-15,factor_match,0.7503091785195828,0.014876038945445338,0.011800355920311869,0.019655578037206453,PC2_up_PC3_up
10Y|3-7,factor_match,0.8935940583576522,0.008319133619046874,0.006982959572207725,0.011686361671351064,PC1_up_1sigma
10Y|7-10,factor_match,0.7896365701924797,0.014249818470592333,0.011720431733803459,0.02092342718369955,PC1_up_PC3_up
1Y|0-3,factor_match,0.015404012886177099,0.0005622202422950654,0.000487656988267933,0.0008991117684469302,PC1_up_PC2_up
1Y|10-15,factor_match,,0.0,0.0,0.0,PC1_up_1sigma
1Y|3-7,factor_match,0.03812243807744564,0.0005484602449966992,0.00047005179679365474,0.0008847921275712286,PC1_up_PC2_up
1Y|7-10,factor_match,0.04159306822928843,4.488958762511822e-17,3.706016110449447e-17,7.190566407538334e-17,PC2_up_PC3_up
2Y|0-3,factor_match,0.11746278416015343,0.001186898379573947,0.000942258710324615,0.00188451742064923,PC1_up_PC2_up
2Y|10-15,factor_match,0.11757454836863446,0.001114393573732175,0.000984897929298754,0.001703444413670447,PC1_up_PC3_up
2Y|3-7,factor_match,0.23564606771190888,0.0010309876449376676,0.0009048727802133385,0.0019171077435127374,PC1_up_PC3_up
2Y|7-10,factor_match,0.1135842488448835,0.0013549383458635671,0.0012725111424207807,0.0019009849749675911,PC1_up_PC2_up
3Y|0-3,factor_match,-0.012489961746331213,0.0029898664350623337,0.0025340284337862238,0.0045046668823300684,PC1_up_PC2_up
3Y|10-15,factor_match,0.2750904583786722,0.0020176528435817635,0.0018998759358937023,0.0029456022012941856,PC1_up_PC3_up
3Y|3-7,factor_match,0.14381653223047275,0.005122229029053456,0.0047226121967850355,0.008434763120684374,PC1_up_PC3_up
3Y|7-10,factor_match,0.30055399389192716,0.0021947145876452375,0.001449323678665558,0.0035157316579825125,PC1_up_PC3_up
5Y|0-3,factor_match,0.075895784731833,0.012102920944316017,0.010580707910244139,0.01891756645496457,PC3_up_1sigma
5Y|10-15,factor_match,0.24517954423941413,0.006733633068108261,0.0057183542412865395,0.013297034619177639,PC1_up_PC3_up
5Y|3-7,factor_match,0.13006978305437022,0.005844582447536239,0.005270659155229665,0.008766925595568312,PC3_up_1sigma
5Y|7-10,factor_match,0.20162359842634747,0.006032123287443482,0.0052384714790830456,0.01160464316019077,PC2_up_PC3_up
7Y|0-3,factor_match,0.909759039619638,0.002358561363535252,0.0019723987346505086,0.0032836340719674464,PC1_up_1sigma
7Y|10-15,factor_match,0.9254055941589254,0.001871376578559228,0.0015825419348712208,0.003445460608269865,PC1_up_PC3_up
7Y|3-7,factor_match,0.9726363349897099,0.0010495011584132337,0.0009897735664496509,0.0015647496760047494,PC2_up_1sigma
7Y|7-10,factor_match,0.9156315636683597,0.0024410123549480976,0.0021191538729474495,0.004595616271941088,PC2_up_PC3_up
10Y|0-3,scenario_opt,0.9843785923611491,0.0006673934149386176,0.0005636680427956019,0.0009328150721562289,PC2_up_1sigma
10Y|10-15,scenario_opt,0.955444571969534,0.0026858358325426257,0.0022836808427473257,0.0047587912508538985,PC1_up_PC3_up
10Y|3-7,scenario_opt,0.9912734928975314,0.0006823055816251974,0.0006230090969284311,0.0010514601987686167,PC1_up_1sigma
10Y|7-10,scenario_opt,0.9380214055078807,0.004223893262023326,0.003816612865301746,0.00586241011104739,PC2_up_PC3_up
1Y|0-3,scenario_opt,0.49673859877667714,0.0002899429566123121,0.00026759567799071265,0.0004404693005286647,PC1_up_PC2_up
1Y|10-15,scenario_opt,,0.0,0.0,0.0,PC1_up_1sigma
1Y|3-7,scenario_opt,0.6076837637929764,0.00022183828192006818,0.0001887036020047596,0.0003774072040095192,PC1_up_PC2_up
1Y|7-10,scenario_opt,0.057509979892008345,4.404986419489708e-17,3.607180389197629e-17,6.093843776183336e-17,PC2_up_PC3_up
2Y|0-3,scenario_opt,0.562250305214483,0.000596592722732363,0.0005091830867207197,0.000936067035812355,PC1_up_PC3_up
2Y|10-15,scenario_opt,0.32248168465189164,0.000838526480369395,0.0006568976979043327,0.0013120685209731327,PC1_up_PC2_up
2Y|3-7,scenario_opt,0.6948667036570333,0.0004018382176073738,0.00033956798773171026,0.0007543820299305631,PC1_up_PC3_up
2Y|7-10,scenario_opt,0.2108724193617637,0.0012021575458858057,0.0011119395722863274,0.0018092801682507143,PC1_up_PC2_up
3Y|0-3,scenario_opt,0.14121048754313248,0.00255654469294361,0.002261696233288801,0.004035112082433029,PC1_up_PC3_up
3Y|10-15,scenario_opt,0.5208033696668228,0.0012907934380350578,0.0011062884628211642,0.0022125769256423284,PC1_up_PC2_up
3Y|3-7,scenario_opt,0.3224172805922626,0.0039863877412662264,0.0036909226671658995,0.005739182484476013,PC1_up_PC3_up
3Y|7-10,scenario_opt,0.656427064142415,0.001043976902425106,0.0009695899275171917,0.001578837995478032,PC3_up_1sigma
5Y|0-3,scenario_opt,0.10006591410131271,0.011776198000606386,0.010261633858144563,0.01824653355249315,PC3_up_1sigma
5Y|10-15,scenario_opt,0.3871644302605106,0.005440567095127053,0.004782964951271726,0.009595991329784281,PC1_up_PC3_up
5Y|3-7,scenario_opt,0.23686673974270045,0.0050551107907608256,0.004740874002001146,0.007245784362383104,PC1_up_PC2_up
5Y|7-10,scenario_opt,0.39406503378455204,0.00452731029519386,0.0037467490211559188,0.007979378625218525,PC2_up_PC3_up
7Y|0-3,scenario_opt,0.9940870303525655,0.00015454560095317093,0.0001305263349353887,0.00021600822345220136,PC2_up_1sigma
7Y|10-15,scenario_opt,0.9718049910304685,0.0006877117035295027,0.0006168109792098883,0.0010352186320737775,PC1_up_PC2_up
7Y|3-7,scenario_opt,0.9927552822335691,0.00027753547977802973,0.0002450546379438966,0.0004543547220637479,PC1_up_PC2_up
7Y|7-10,scenario_opt,0.9472757684573693,0.001496719123645228,0.0013509026675408691,0.002008220425453646,PC3_up_1sigma
