date,curve_label,tenor,k1,k2,rho,spread_running,upfront,model_protection_leg,model_premium_leg,residual
2024-12-03,Adjusted,1.0,0.0,0.03,0.2279692095914227,0.050578,0.0409192,0.0014630966254840822,0.028927530259877453,-0.0012275759999999995
2024-12-03,Adjusted,1.0,0.03,0.07,0.035426231289423064,0.005106,-0.00507525,2.854924318996437e-05,0.03929840299245737,3.090159751047706e-05
2024-12-03,Adjusted,1.0,0.07,0.1,0.032413820406194595,0.002041,0.0,-4.336808689942018e-19,0.029477484966189654,-6.016354681599351e-05
2024-12-03,Adjusted,1.0,0.1,0.15,0.05801228323778088,0.000513,0.0,6.505213034913027e-19,0.04912914161031613,-2.5203249646091525e-05
2024-12-03,Adjusted,2.0,0.0,0.03,0.4363870809544189,0.058809,0.09227929,0.0032673961012791913,0.05555945690751319,-0.002768378699994752
2024-12-03,Adjusted,2.0,0.03,0.07,0.4451093397911907,0.008915000000000001,-0.00215291,0.0006862160227695795,0.07697319380477596,8.611640000000175e-05
2024-12-03,Adjusted,2.0,0.07,0.1,0.4542801873588627,0.003909,0.0,0.00022644898844233294,0.05793015820973396,4.828765425707315e-16
2024-12-03,Adjusted,2.0,0.1,0.15,0.46457950334364545,0.001392,0.0,0.00013452333310303658,0.09664032550860663,-4.943853486316652e-15
2024-12-03,Adjusted,3.0,0.0,0.03,0.4688881404365924,0.06726599999999999,0.15334009999999998,0.005350411376341519,0.07954109619037138,-0.004600203000000001
2024-12-03,Adjusted,3.0,0.03,0.07,0.5112568518570272,0.013030000000000002,0.00875317,0.0014719639575222505,0.11296730294315564,-0.00035012679982706783
2024-12-03,Adjusted,3.0,0.07,0.1,0.5323233683791601,0.0061530000000000005,0.0,0.0005244321322053587,0.0852319408752405,3.7947076036992655e-18
2024-12-03,Adjusted,3.0,0.1,0.15,0.5980212016085792,0.002581,0.0,0.0003681551579707513,0.1426405106335062,2.5671793250220398e-14
2024-12-03,Adjusted,5.0,0.0,0.03,0.5117703246825667,0.080813,0.28028306000000003,0.009616527110800428,0.11899727903134455,-0.00840849179955962
2024-12-03,Adjusted,5.0,0.03,0.07,0.5945093540769081,0.021224,0.05081741,0.003798623977790575,0.1789777599788246,-0.002032696399999998
2024-12-03,Adjusted,5.0,0.07,0.1,0.6512546490206981,0.01105,0.0,0.001512054169228996,0.1368374813777738,4.595282487862562e-15
2024-12-03,Adjusted,5.0,0.1,0.15,0.7148718842585206,0.005520000000000001,0.0,0.001261347971603476,0.22850506722349795,5.297672023285571e-13
2024-12-03,Adjusted,7.0,0.0,0.03,0.5160620777386075,0.09293,0.40494622,0.013668539328795025,0.14708424974491574,-0.012148386599999995
2024-12-03,Adjusted,7.0,0.03,0.07,0.5983195243334378,0.030432,0.12075943,0.007133727850336632,0.23441534734123126,-0.004830377199951719
2024-12-03,Adjusted,7.0,0.07,0.1,0.6580666576798053,0.017197999999999998,0.0,0.0031400296132375466,0.1825810915721946,3.789442717949676e-13
2024-12-03,Adjusted,7.0,0.1,0.15,0.7218372738359566,0.009511,0.0,0.002907779711950661,0.3057280739926542,2.0652620238981179e-13
2024-12-03,Adjusted,10.0,0.0,0.03,0.540673266846786,0.097491,0.50541067,0.01718139919770422,0.17623574686590845,-0.015162320100000057
2024-12-03,Adjusted,10.0,0.03,0.07,0.6330169651001823,0.036554,0.19969425000000002,0.01099813313748552,0.3008735880474218,-0.00798776999999994
2024-12-03,Adjusted,10.0,0.07,0.1,0.7016625334622308,0.021981,0.0,0.005302850581773291,0.24124701248845443,2.645739530238167e-13
2024-12-03,Adjusted,10.0,0.1,0.15,0.7686090450775896,0.013106999999999999,0.0,0.005307332159321519,0.4049234879876946,2.2668065341457933e-12
