tenor,detachment,pc1,pc2,pc3
1.0,0.03,0.27560370704154913,0.2265290417494328,0.10569830260703482
1.0,0.07,0.04923155062654401,-0.08846908769499745,-0.046541404040372214
1.0,0.1,-0.0103695919669098,0.0028674745065831314,0.19343931502262363
1.0,0.15,0.06486640350668386,-0.05275519189946999,0.07505332079340082
2.0,0.03,0.07312091175380357,0.030995849978486194,-0.04856908944601847
2.0,0.07,0.16883464663818643,0.05976216405225507,0.1429726097215756
2.0,0.1,0.248160548378235,0.17463726541811067,-0.2060236742888304
2.0,0.15,0.6361956611005983,0.42040835414649114,-0.12460341063045843
3.0,0.03,0.05842807699290521,0.02467750198627535,0.04197194865317325
3.0,0.07,0.12408232305022909,0.09493170377678521,0.3800669515563585
3.0,0.1,0.12471122011334165,0.09341554655455733,0.18694477575754112
3.0,0.15,0.20361207252558722,0.19358211900420672,0.45858566868946193
5.0,0.03,0.05278098748507979,0.03459241050013295,-0.2720417282226294
5.0,0.07,0.06992874463903714,0.037251264267598644,-0.369827366888027
5.0,0.1,0.08758628489596776,0.06742247762950063,-0.2613912827723657
5.0,0.15,0.09230395551677217,0.05389517187554996,-0.41719203515880127
7.0,0.03,0.133941818865328,-0.16269680078951043,-0.06488647119386885
7.0,0.07,0.25226237440398835,-0.3602894460086251,-0.04223675118876331
7.0,0.1,0.316443306865316,-0.4474927188176633,0.11058163195434448
7.0,0.15,0.3684045871624499,-0.5512786191233328,-0.0005809611165810413
